1	Слушай	слушать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	0	root	_	SpacesAfter=\n|TokenRange=0:6
2	/	/	PUNCT	_	_	8	punct	_	SpacesAfter=\n|TokenRange=7:8
3	/	/	PUNCT	_	_	8	punct	_	SpacesAfter=\n|TokenRange=9:10
4	Не	не	PART	_	_	1	advmod	_	SpacesAfter=\n|TokenRange=11:13
5	/	/	PUNCT	_	_	4	punct	_	SpacesAfter=\n|TokenRange=14:15
6	у	у	ADP	_	_	7	case	_	SpacesAfter=\n|TokenRange=16:17
7	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	1	obl	_	SpacesAfter=\n|TokenRange=18:22
8	был	быть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	1	conj	_	SpacesAfter=\n|TokenRange=23:26
9	/	/	PUNCT	_	_	12	punct	_	SpacesAfter=\n|TokenRange=27:28
10	у	у	ADP	_	_	11	case	_	SpacesAfter=\n|TokenRange=29:30
11	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	12	obl	_	SpacesAfter=\n|TokenRange=31:35
12	был	быть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	1	conj	_	SpacesAfter=\n|TokenRange=36:39
13	/	/	PUNCT	_	_	15	punct	_	SpacesAfter=\n|TokenRange=40:41
14	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	12	nsubj	_	SpacesAfter=\n|TokenRange=42:43
15	эх	эх	PRON	_	_	12	parataxis	_	SpacesAfter=\n|TokenRange=44:46
16	/	/	PUNCT	_	_	15	punct	_	SpacesAfter=\n|TokenRange=47:48
17	из	из	ADP	_	_	19	case	_	SpacesAfter=\n|TokenRange=49:51
18	тех	тот	DET	_	Case=Gen|Number=Plur	19	det	_	SpacesAfter=\n|TokenRange=52:55
19	людей	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	8	obl	_	SpacesAfter=\n|TokenRange=56:61
20	которые	который	PRON	_	Case=Nom	22	nsubj	_	SpacesAfter=\n|TokenRange=62:69
21	когда	когда	SCONJ	_	_	22	mark	_	SpacesAfter=\n|TokenRange=70:75
22	говорят	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	19	acl:relcl	_	SpacesAfter=\n|TokenRange=76:83
23	что	что	PRON	_	Case=Nom	22	obj	_	SpacesAfter=\n|TokenRange=84:87
24	/	/	PUNCT	_	_	27	punct	_	SpacesAfter=\n|TokenRange=88:89
25	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	27	nsubj	_	SpacesAfter=\n|TokenRange=90:92
26	будешь	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	27	aux	_	SpacesAfter=\n|TokenRange=93:99
27	вспоминать	вспоминать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	8	conj	_	SpacesAfter=\n|TokenRange=100:110
28	школу	школа	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	27	obj	_	SpacesAfter=\n|TokenRange=111:116
29	/	/	PUNCT	_	_	32	punct	_	SpacesAfter=\n|TokenRange=117:118
30	как	как	SCONJ	_	_	32	mark	_	SpacesAfter=\n|TokenRange=119:122
31	лучший	лучший	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	32	amod	_	SpacesAfter=\n|TokenRange=123:129
32	период	период	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	27	obl	_	SpacesAfter=\n|TokenRange=130:136
33	своей	свой	DET	_	Case=Gen|Gender=Fem|Number=Sing	34	det	_	SpacesAfter=\n|TokenRange=137:142
34	жизни	жизнь	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	32	nmod	_	SpacesAfter=\n|TokenRange=143:148
35	/	/	PUNCT	_	_	38	punct	_	SpacesAfter=\n|TokenRange=149:150
36	/	/	PUNCT	_	_	38	punct	_	SpacesAfter=\n|TokenRange=151:152
37	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	38	iobj	_	SpacesAfter=\n|TokenRange=153:156
38	хочется	хотеться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	8	conj	_	SpacesAfter=\n|TokenRange=157:164
39	подойти	подойти	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	38	xcomp	_	SpacesAfter=\n|TokenRange=165:172
40	их	они	PRON	_	Case=Acc|Number=Plur|Person=3	39	obj	_	SpacesAfter=\n|TokenRange=173:175
41	/	/	PUNCT	_	_	45	punct	_	SpacesAfter=\n|TokenRange=176:177
42	камбалой	камбала	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	45	obl	_	SpacesAfter=\n|TokenRange=178:186
43	по	по	ADP	_	_	44	case	_	SpacesAfter=\n|TokenRange=187:189
44	лицу	лицо	NOUN	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	42	nmod	_	SpacesAfter=\n|TokenRange=190:194
45	ударить	ударить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	39	xcomp	_	SpacesAfter=\n|TokenRange=195:202
46	/	/	PUNCT	_	_	47	punct	_	SpacesAfter=\n|TokenRange=203:204
